geom,Num_Occupants,Num_MotorVehicles,Fatalities_calc,SuspectedSeriousInjury_calc,NonMotorist_calc,Aggregated_Non_Motorist_txt,CityTownship,CountyNameTxt,Region,Zipcode_txtCARTO,TribalLand_txtCARTO,InjuryLevel,ExceedingSpeedLimitInd_boolCARTO,Seatbelt_boolCARTO,DistractedDrivingCde_boolCARTO,AlcoholSuspectedCde_txtCARTO,DrugSuspectedCde_txtCARTO,WeatherCde_txtCARTO,SurfaceConditionCde_txtCARTO,RdwyTypeCde_txtCARTO,RelativeLocIntersectCde,PostedSpeedNbr_binCARTO,WorkZoneInd_txtCARTO,DateOfIncident,AgencyIdNbr_txtCARTO,Injuries_calc,LatDec,LongDec,RdwyNameTxt,LocalCodeTxt,doi_date,doi_time,doi_dow_txtCARTO,HitAndRunInd_txtCARTO,VehicleMakeModelYearTxt_list,VehicleTypeCde_txtCARTO_list,doi_hour_txtCARTO,CrashType,CrashDetail
POINT(-94.49656574 45.2676933),3,2,0,1,0,Motorist Only,FOREST PRAIRIE,MEEKER,Southwest,55389,Not on Tribal Land,Suspected Serious Injury,Yes,Not Completely,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-27 19:26:00,Meeker County Sheriff,2,45.2676933,-94.49656574,CSAH 34,25001025,"August 27, 2025",07:26:00 PM,Wednesday,"No, Did not Leave Scene","2014 FORD EDGE, 2018 HONDA SXS500M2","Sport Utility Vehicle, ATV (Class II)",7:00 PM - 7:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-94.17509125 44.97767026),1,1,0,0,0,Motorist Only,HALE,MCLEOD,Southwest,55381,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-27 10:38:00,McLeod County Sheriff,0,44.97767026,-94.17509125,CSAH 2,25007844,"August 27, 2025",10:38:00 AM,Wednesday,"No, Did not Leave Scene",2001 DODGE RAM 1500,Pickup,10:00 AM - 10:59 AM,Non-Collision,Overturn/Rollover
POINT(-94.26224619 45.18152705),1,1,0,0,0,Motorist Only,KINGSTON,MEEKER,Southwest,55382,Not on Tribal Land,Suspected Minor Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-27 08:50:00,Meeker County Sheriff,1,45.18152705,-94.26224619,CSAH 27,25001019,"August 27, 2025",08:50:00 AM,Wednesday,"No, Did not Leave Scene",2020 JEEP (POST 1988) COMPASS,Sport Utility Vehicle,8:00 AM - 8:59 AM,Collision w/ Fixed Object,Light Pole/Utility Pole
POINT(-96.68620335 47.78932394),3,1,0,0,0,Motorist Only,LOWELL,POLK,Northwest,56716,Not on Tribal Land,Suspected Minor Injury,No,Not Completely,No,No,No,Clear,Mud/Dirt/Gravel,County State Aid Highway - CSAH,T Intersection,41 - 55 MPH,No,2025-08-27 19:15:00,Polk County Sheriff,1,47.78932394,-96.686203350000014,260TH ST SW,25000851,"August 27, 2025",07:15:00 PM,Wednesday,"No, Did not Leave Scene",2024 FORD EDGE,Passenger Car,7:00 PM - 7:59 PM,Did Not Describe,Other - Non-Collision
POINT(-93.51352826 45.0835042),3,3,0,0,0,Motorist Only,MAPLE GROVE,HENNEPIN,Metro,55311,Not on Tribal Land,Possible Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,41 - 55 MPH,No,2025-08-27 22:06:00,Maple Grove Police Dept,2,45.083504200000007,-93.51352826,BASS LAKE RD,MG25010865,"August 27, 2025",10:06:00 PM,Wednesday,"No, Did not Leave Scene","2022 PORSCHE MACAN, 2026 GMC ACADIA, 2008 FORD ESCAPE","Sport Utility Vehicle, Sport Utility Vehicle, Sport Utility Vehicle",10:00 PM - 10:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.49507646 45.12733739),2,2,0,0,0,Motorist Only,MAPLE GROVE,HENNEPIN,Metro,55311,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,31 - 40 MPH,No,2025-08-27 19:06:00,Maple Grove Police Dept,0,45.12733739,-93.49507646,97TH AVE N,MG25010860,"August 27, 2025",07:06:00 PM,Wednesday,"No, Did not Leave Scene","2000 MERCURY GRAND MARQUIS, 2008 CHEVROLET IMPALA","Passenger Car, Passenger Car",7:00 PM - 7:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.49069909 45.12652618),3,1,0,0,1,Bicycle,MAPLE GROVE,HENNEPIN,Metro,55311,Not on Tribal Land,Suspected Minor Injury,No,Unknown,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Intersection Related,41 - 55 MPH,No,2025-08-27 13:20:00,Maple Grove Police Dept,1,45.126526180000006,-93.49069909,95TH AVE N,25-10843,"August 27, 2025",01:20:00 PM,Wednesday,"No, Did not Leave Scene",2012 SUBARU OUTBACK,Sport Utility Vehicle,1:00 PM - 1:59 PM,Collision w/ Non-Fixed Object,Pedalcycle (Bike)
POINT(-93.28179093 45.01304385),2,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55411,Not on Tribal Land,No Apparent Injury,Unknown,Unknown,Yes,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,21 - 30 MPH,No,2025-08-27 22:30:00,Minneapolis Police Dept,0,45.01304385,-93.28179093,LOWRY AVE N,25-244598,"August 27, 2025",10:30:00 PM,Wednesday,"No, Did not Leave Scene","2010 TOYOTA COROLLA, 2012 HONDA CROSSTOUR","Passenger Car, Passenger Car",10:00 PM - 10:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.22684765 45.00137537),2,1,0,0,1,Bicycle,MINNEAPOLIS,HENNEPIN,Metro,55413,Not on Tribal Land,No Apparent Injury,No,Not Completely,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,21 - 30 MPH,No,2025-08-27 15:36:00,MN State Patrol District 2500 - Golden Valley,0,45.001375370000005,-93.22684765,SB STINSON BLVD NE / SB 35W,25510708,"August 27, 2025",03:36:00 PM,Wednesday,"No, Did not Leave Scene",2024 MITSUBISHI OUTLANDER,Sport Utility Vehicle,3:00 PM - 3:59 PM,Collision w/ Non-Fixed Object,Pedalcycle (Bike)
POINT(-95.69662645 44.93810476),2,2,0,0,0,Motorist Only,MONTEVIDEO,CHIPPEWA,Southwest,56265,Not on Tribal Land,No Apparent Injury,No,Unknown,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,T Intersection,21 - 30 MPH,No,2025-08-27 07:47:00,Montevideo Police Dept,0,44.938104760000009,-95.69662645,50TH AVE SW,25003926,"August 27, 2025",07:47:00 AM,Wednesday,"No, Did not Leave Scene","2005 FORD F150, 2015 DODGE GRAND CARAVAN","Pickup, Passenger Car",7:00 AM - 7:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-96.56374984 48.51497065),2,2,0,0,0,Motorist Only,NELSON PARK,MARSHALL,Northwest,56732,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Cloudy,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-27 09:00:00,Marshall County Sheriff,0,48.51497065,-96.56374984,440TH ST NW,2025000167,"August 27, 2025",09:00:00 AM,Wednesday,"No, Did not Leave Scene","2003 GMC NEW SIERRA, 2011 CHEVROLET SILVERADO","Pickup, Pickup",9:00 AM - 9:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.50721328 45.02914346),4,2,0,0,0,Motorist Only,PLYMOUTH,HENNEPIN,Metro,55446,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,41 - 55 MPH,No,2025-08-27 12:51:00,Plymouth Police Dept,1,45.029143460000007,-93.50721328,COUNTY RD 101,25034146,"August 27, 2025",12:51:00 PM,Wednesday,"No, Did not Leave Scene","2003 GMC SIE, 2023 HYUNDAI SFE","Pickup, Sport Utility Vehicle",12:00 PM - 12:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.10590673 44.99187121),2,2,0,1,0,Motorist Only,SAINT PAUL,RAMSEY,Metro,55113,Not on Tribal Land,Suspected Serious Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,21 - 30 MPH,No,2025-08-27 21:03:00,St Paul Police Dept,1,44.991871210000006,-93.10590673,N RICE ST,25156707,"August 27, 2025",09:03:00 PM,Wednesday,"No, Did not Leave Scene","2019 SUBARU CROSSTREK, 2019 KAWASAKI ER400","Passenger Car, Motorcycle",9:00 PM - 9:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.08017233 45.04311046),1,1,0,0,0,Motorist Only,VADNAIS HEIGHTS,RAMSEY,Metro,55127,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-27 11:11:00,Ramsey County Sheriff,0,45.04311046,-93.08017233,VADNAIS BLVD,25041594,"August 27, 2025",11:11:00 AM,Wednesday,"No, Did not Leave Scene",2011 SUBARU OUTBACK,Sport Utility Vehicle,11:00 AM - 11:59 AM,Collision w/ Fixed Object,Guardrail Face
POINT(-93.50008579 44.97125746),2,1,0,0,1,Bicycle,WAYZATA,HENNEPIN,Metro,55391,Not on Tribal Land,Suspected Minor Injury,No,Not Completely,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Driveway Access Related,31 - 40 MPH,No,2025-08-27 13:12:00,Wayzata Police Dept,1,44.97125746,-93.50008579,WAYZATA BLVD,25006370,"August 27, 2025",01:12:00 PM,Wednesday,"No, Did not Leave Scene",2022 FORD EXPLORER,Sport Utility Vehicle,1:00 PM - 1:59 PM,Collision w/ Non-Fixed Object,Pedalcycle (Bike)
POINT(-93.00657434 45.33659419),4,2,0,0,0,Motorist Only,WYOMING,CHISAGO,Metro,55092,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",31 - 40 MPH,No,2025-08-27 18:10:00,Wyoming Police Dept,0,45.33659419,-93.00657434,E VIKING BLVD,25.6607,"August 27, 2025",06:10:00 PM,Wednesday,"No, Did not Leave Scene","2024 CHEVROLET SILVERADO, 2024 SUBARU OUTBACK","Pickup, Passenger Car",6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
